"","theta","(Intercept)","log_umi"
"GNB1",2.82720034787066,-11.9390485369223,2.92204386969518
"PRKCZ",0.290810468222396,-10.7878685386789,1.91322403241073
"RP5-892K4.1",0.179523852617183,-4.98610225838511,-0.18382443750273
"C1orf86",0.892598764271075,-8.92047377756806,2.20656919637967
"SKI",0.516412762994553,-10.8249020182328,2.0873500843992
"RER1",0.733690883466295,-9.10900483208471,2.34070283255786
"PEX10",0.303628823553618,-15.8450610983326,3.38912637552023
"PANK4",0.977892925067685,-13.3186711058105,2.79695869410827
"RP3-395M20.12",0.687863284727918,-12.9241748205417,3.02004392548419
"TNFRSF14",3.12347933423712,-9.44449573516714,2.39966720553881
"RP3-395M20.9",0.0159909384266218,-11.2787839671319,1.78803442251501
"FAM213B",0.351837467923238,-10.1749638708919,1.76467382199361
"MMEL1",0.240406352927357,-12.1087058242503,2.01036311751375
"MEGF6",0.166356949136525,-14.5756048502377,2.65594479666459
"TPRG1L",0.0990226240539579,-12.4262814568769,2.52610481220008
"WRAP73",0.607406651371074,-11.3592081407131,2.39752006999671
"TP73-AS1",0.555862499216221,-8.79221879570832,1.2886003826631
"SMIM1",0.2597212848541,-11.2508751890687,1.77981517985663
"LRRC47",0.197777238521564,-13.7220976707905,3.18175229625533
"CEP104",0.809665852084207,-6.05534069349348,0.686594938015117
"DFFB",0.17250023968249,-13.4143057556356,2.59586591159129
"C1orf174",1.44744020596114,-9.24977727240198,1.88292340046126
"NPHP4",0.195158624435658,-14.3580168897247,2.62025090991001
"KCNAB2",1.91806368392756,-10.1845206410808,2.35055517777122
"RPL22",6.7733165403679,-6.00686256516723,2.0082381045452
"RNF207",0.0250789539236035,-9.54218926954003,1.22964941852585
"ICMT",0.780461672588337,-12.6796773153061,2.66633239285779
"ACOT7",0.204130288053355,-23.2034182870802,5.45686473329771
"RP1-202O8.3",0.0897235268826675,-5.85924352577763,-0.129751236738749
"ESPN",0.0908932376646794,-9.15186431062715,0.854059181047362
"TNFRSF25",0.120477613901693,-10.8524196661532,2.49549161981056
"PLEKHG5",0.0125375583553109,-14.3834867076917,2.65308559254173
"NOL9",0.10765518245443,-9.10653260178169,1.49822154944068
"ZBTB48",0.224529806197736,-10.7769716391164,2.10945571244767
"KLHL21",0.34671281278718,-8.62964811174734,1.30843044379695
"PHF13",0.382988222326155,-10.667942356476,1.74124140348907
"THAP3",0.725279567545287,-10.0487378950596,1.95331505925687
"DNAJC11",0.254250637640488,-13.6598618644341,2.82749423131186
"CAMTA1",0.609978284515035,-8.72718331951927,1.91021482069656
"VAMP3",1.4702565493783,-14.2481335119208,3.4496162410312
"PER3",0.174489873161725,-10.7853958429492,1.83614003831625
"UTS2",0.217683222747066,-9.83282667909059,1.3156873114163
"TNFRSF9",0.0038635904833115,-13.2751174092486,2.49278929090513
"PARK7",5.22104902321392,-10.2454430031833,2.94010554962369
"RERE",1.25781253336226,-10.2820827823592,2.15459132748287
"ENO1",2.06480196871019,-11.5528808930077,3.43855014333995
"ENO1-AS1",0.233798603802563,-5.13737312027083,-0.0596078749678833
"H6PD",0.348285804826753,-8.3193019215679,1.30736039669096
"SPSB1",0.14257318954771,-23.5875586364031,5.32018987444918
"SLC25A33",0.665794990709268,-10.2568573339993,2.07437551801329
"TMEM201",0.136756932570018,-17.3029020386511,3.38389618043182
"PIK3CD",2.76320086320296,-9.75711249828402,2.17961100165343
"C1orf200",0.101915898609096,-13.4517575041819,2.17765840653444
"RP11-558F24.4",0.0927661420757252,-16.1787528595552,2.92115328131114
"CLSTN1",0.846194380536247,-11.4287920834684,2.53359072728397
"CTNNBIP1",0.242944534860064,-7.81756397676836,1.54861360390496
"LZIC",1.44549718670339,-10.491510590736,2.25348942485654
"NMNAT1",0.446397298090998,-9.16817689099695,1.34779946001807
"RBP7",0.109485578914244,-2.88159637954408,0.169029556830544
"UBE4B",0.815837951985607,-11.0363961418115,2.21774228169345
"KIF1B",0.461508774850089,-13.3461562490733,2.56450439138858
"PGD",0.744995745578412,-12.8807107247463,3.22872507047341
"APITD1",0.615281710042925,-6.99699536687996,0.783295115735388
"DFFA",0.668780834382924,-11.1495515423328,2.39046577594465
"PEX14",0.930867635799442,-10.0067697476237,1.79414613474363
"CASZ1",0.121198623678429,-18.0144203599294,3.55107382027444
"TARDBP",1.44485072358562,-9.11894146182374,1.92452186792545
"RP4-635E18.8",0.105014125785375,-10.4123948215955,1.28207321215396
"SRM",0.384888110667275,-15.4566233381835,4.04169344043402
"EXOSC10",0.479386508165618,-9.30432311371484,1.79428062694092
"MTOR",0.655323469193891,-14.7664169106803,3.07630215861938
"UBIAD1",0.094120110716679,-10.2571638701857,2.17280684747643
"FBXO2",0.0564030735438915,-9.11721438222647,1.2069407329585
"FBXO44",0.965420997243079,-5.96724685175639,0.749535397583937
"FBXO6",0.816190795793707,-11.7577087550271,2.64089070441193
"MAD2L2",1.02601666386839,-9.95104371413536,2.23647683359283
"DRAXIN",0.00598839829039449,1.02835514357515,-2.04208551668809
"AGTRAP",0.903634558114064,-10.6034124682562,2.64244082839702
"MTHFR",0.749950002617084,-10.8450975039014,2.0932791366111
"CLCN6",0.508054831755518,-9.57312903483505,1.49977242224383
"KIAA2013",0.490450325813799,-17.3383580789157,3.99846381994844
"PLOD1",0.421946789054584,-22.7704098355954,5.31601301259397
"MFN2",0.130153076632165,-9.77878953152453,1.83261259313218
"MIIP",1.87410211714394,-12.9264542977209,3.00427682955113
"TNFRSF8",0.111872900592472,-20.4228973113095,4.71185822108303
"TNFRSF1B",0.525789323211062,-11.6523623867732,2.93760436572603
"VPS13D",0.696757292225977,-11.4879962603072,2.26705654667869
"DHRS3",0.454830997524844,-6.87331443538734,0.915387530955399
"PRDM2",0.28261737320935,-7.20802518373632,1.3773378340327
"TMEM51",0.484189001306804,-26.5174265951214,6.03891004198198
"RP3-467K16.4",0.00543851541335473,-9.95330927864738,1.14608888610106
"EFHD2",0.545277805208949,-11.0804588980327,2.89408259605024
"CASP9",0.33708816113415,-11.8438132064265,2.24740865941306
"DNAJC16",0.40404882591545,-13.030495348971,2.48371175858118
"AGMAT",0.23942333323555,-12.9132206725419,2.60973116561056
"DDI2",0.0147172974594224,-20.6410343133327,5.02449677754267
"PLEKHM2",0.736341906687406,-16.7139495820492,3.69970612945317
"FBLIM1",0.430553399112071,-11.634787421062,2.07475654387284
"RP11-169K16.9",0.435754322452834,-8.33675384936619,1.63335156376924
"SPEN",0.102112029235829,-14.8555723709582,3.37608991884124
"ZBTB17",0.214884346033675,-12.438128511365,2.50170918256191
"ARHGEF19",0.040826554638466,-9.52344304828027,1.29016531199445
"RSG1",0.118917210836126,-15.0942981262109,2.70321837324094
"FBXO42",0.347666640084767,-15.8400195370256,3.58810598282856
"SZRD1",0.739626343748926,-11.7445817780649,2.789336900659
"NECAP2",1.39422216511163,-8.62941068757663,2.10600189414966
"RP4-798A10.2",0.160269995643827,-9.97126272412974,1.27151509152985
"RP4-798A10.4",0.092305323373539,-16.5664683934425,3.03391670495197
"NBPF1",0.184698986578149,-16.612495905323,3.67043634233843
"CROCCP2",0.836225396574936,-7.75725407749651,1.41546306426804
"CROCC",0.135023270100722,-11.3159843098747,1.96957327013229
"RP11-108M9.4",1.26616345939432,-7.75632258201076,1.38986421625173
"RP11-108M9.6",0.137622627103934,-7.28442092785419,0.788995557936659
"ATP13A2",1.04883528685193,-10.450193848515,1.99594291036401
"SDHB",0.423591581633328,-8.67729350997403,2.22946142874072
"PADI4",0.249338387764243,-10.0041064787501,1.89485652043162
"RCC2",0.435122748033056,-14.0581447419711,3.16058939937488
"ARHGEF10L",0.24229999106503,-15.8881533851455,3.36646445367551
"IFFO2",0.309569762788695,-10.8155332919169,1.70875639454827
"UBR4",1.18573039705963,-7.65528052239744,1.4146941684798
"RP1-43E13.2",0.0763495910319728,-20.3487245863868,4.42125793558802
"EMC1",0.53306544275211,-7.20697820990582,0.80852591282595
"MRTO4",0.511594198748155,-20.4455146517872,5.13989160576504
"AKR7A2",1.58517509009477,-10.2823605271477,2.48374737102782
"PQLC2",0.363775638552567,-17.0814827399249,3.62520226693836
"CAPZB",2.12725524670978,-8.61756419425234,2.55038895411963
"MINOS1",1.8999799121496,-10.5489260427544,2.8015966179354
"NBL1",0.189645406752669,-17.7505938928409,3.57789915336015
"TMCO4",0.2811404197679,-14.2507238744075,2.90027574630111
"OTUD3",0.233349345517655,-4.48360458988315,-0.256013068035972
"UBXN10-AS1",0.0900542383604726,-4.28842651140151,-0.602714214494784
"CAMK2N1",0.00169804377763948,-0.957905069601622,-1.24095138619619
"MUL1",1.11853079926697,-9.85294644941519,1.84208831996445
"CDA",0.224996559786959,-12.4189121953039,3.2627694294064
"PINK1",0.099754552334577,-16.2138026025522,3.71589864611137
"PINK1-AS",0.405977320360856,-14.6430217758926,2.90540001775039
"DDOST",1.63429824211945,-9.57004345221325,2.39542426734709
"HP1BP3",0.422882198614378,-9.2442940525793,2.16569077460603
"EIF4G3",0.137928039937149,-6.85636922877944,0.661574077824131
"ECE1",1.08843831864518,-11.8583680506503,2.53775743875269
"NBPF3",0.164241095061121,-9.82343405283553,1.22774293015477
"USP48",1.59504626224167,-12.2423929920662,2.77294999801456
