"","theta","(Intercept)","log_umi"
"H6PD",0.347966476636038,-11.3941523124697,2.20903480623776
"SPSB1",0.211561276790128,-12.5005332691513,2.09729795390912
"SLC25A33",0.469242292256476,-10.9446433888567,2.27227095820305
"TMEM201",0.141473787659634,-12.8191386499719,2.05126746596957
"PIK3CD",0.57061953330043,-10.2146125860114,2.32164866506793
"C1orf200",0.108196131760806,-13.0200960649104,2.02232033555741
"RP11-558F24.4",0.090721269291354,-12.7921404110945,1.91917469956789
"CLSTN1",0.441360628350131,-10.5605221110854,2.2817311430433
"CTNNBIP1",0.45747813270802,-10.5049288074021,2.31957051224978
"LZIC",0.441536334843911,-10.5656480005324,2.28097108004013
"NMNAT1",0.223506913503804,-11.9791550530398,2.17392053640435
"RBP7",0.540746903854297,-10.3315426351986,2.33286435099987
"UBE4B",0.432936132484423,-11.0655252314777,2.22640344540284
"KIF1B",0.223695027974275,-12.0241158264402,2.17597860349096
"PGD",0.682331103220433,-10.0104357733626,2.38570592891582
"APITD1",0.243431321069781,-11.7117139674051,2.17278568107151
"DFFA",0.461246685312996,-10.7534035170666,2.27293558922879
"PEX14",0.341450871520497,-11.4148798667032,2.20838647618076
"CASZ1",0.124744812975913,-12.9345239920951,2.0430897230423
"TARDBP",0.473984477612786,-10.4897222574532,2.33249925800006
"RP4-635E18.8",0.108196131760806,-13.0200960649104,2.02232033555741
"SRM",0.728666095802547,-9.99448989901694,2.41360166101867
"EXOSC10",0.468827847026835,-10.9504354417836,2.27223560509617
"MTOR",0.248182685417313,-11.6927940738112,2.17580024179626
"UBIAD1",0.465277697773284,-10.7875618737204,2.27228848413651
"FBXO2",0.252848887651615,-12.4667426727497,2.17603331892423
"FBXO44",0.446888890309239,-11.0548770528788,2.25291766010547
"FBXO6",0.441291915416034,-10.5389272809212,2.28655112127259
"MAD2L2",0.562637995216523,-10.2494782906711,2.32493107587314
"DRAXIN",0.144335962055549,-12.8071131072533,2.05393865606713
"AGTRAP",0.793597569605048,-9.89607038507127,2.43354246295303
"MTHFR",0.389152308112735,-11.2262808848236,2.2032345380696
"CLCN6",0.226965555352143,-11.8539915358263,2.1682399487526
"KIAA2013",0.40069808220716,-11.1707663965574,2.20130761253405
"PLOD1",0.226965555352143,-11.8539915358263,2.1682399487526
"MFN2",0.417067865676693,-11.1006960539147,2.20556834155463
"MIIP",0.448731235240299,-10.510915185525,2.30730096712485
"TNFRSF8",0.246980506215015,-11.697220033757,2.17501935050782
"TNFRSF1B",0.761132581454662,-9.94837018845271,2.42654695008566
"VPS13D",0.375842218537906,-11.2877179277956,2.20650351365506
"DHRS3",0.383089885247152,-11.2548981870833,2.20473571080868
"PRDM2",0.470119963614651,-10.4942167254756,2.33029187054484
"TMEM51",0.158147028664132,-12.743367074885,2.06256469798137
"RP3-467K16.4",0.101084877533373,-12.9582856770516,1.98697941273538
"EFHD2",0.960936887728734,-9.74910970234375,2.47923892130191
"CASP9",0.262041219518392,-11.6511250774237,2.18475398016833
"DNAJC16",0.223506913503804,-11.9791550530398,2.17392053640435
"AGMAT",0.301451509050628,-11.5352080262113,2.19974483512168
"DDI2",0.289882550421599,-11.5713986766975,2.19675289869919
"PLEKHM2",0.294380013409298,-11.5573781680938,2.19798584160143
"FBLIM1",0.223506913503804,-11.9791550530398,2.17392053640435
"RP11-169K16.9",0.441182532246186,-10.5523856167158,2.28318828891985
"SPEN",0.43569673920408,-11.0633733645392,2.23172104119707
"ZBTB17",0.328611957477222,-11.453340472807,2.20610294815159
"ARHGEF19",0.237201218102107,-12.549029507341,2.1579848493556
"RSG1",0.124744812975913,-12.9345239920951,2.0430897230423
"FBXO42",0.414371199539716,-11.1106139042686,2.20391564436139
"SZRD1",0.586255996794336,-10.1351292552529,2.31560802914032
"NECAP2",0.886549150844631,-9.82430735236948,2.45834541510772
"RP4-798A10.2",0.158147028664132,-12.743367074885,2.06256469798137
"RP4-798A10.4",0.090721269291354,-12.7921404110945,1.91917469956789
"NBPF1",0.286834635663022,-11.5807955599529,2.19585236233327
"CROCCP2",0.450666666508828,-10.671267539604,2.27493663843689
"CROCC",0.224035905850509,-12.0423659378371,2.17656425261388
"RP11-108M9.4",0.460534599664229,-10.7478199259682,2.27305768856878
"RP11-108M9.6",0.223483964358326,-11.9978879830348,2.17485616472569
"ATP13A2",0.405532690978761,-11.1481904505777,2.20135684886821
"SDHB",0.991124884450538,-9.67532127796647,2.47711096488885
"PADI4",0.419614718033372,-11.0922187116707,2.20759173784096
"RCC2",0.458697038274523,-11.0234367871846,2.26748223805551
"ARHGEF10L",0.230775156673327,-11.7994739811921,2.16756261210683
"IFFO2",0.253776510344264,-12.4304809561986,2.17385166909698
"UBR4",0.442071984937598,-10.5771865341491,2.27957823162723
"RP1-43E13.2",0.224897314176702,-12.5307592002766,2.13038747028561
"EMC1",0.229216757627761,-11.8185740413693,2.16758308707388
"MRTO4",0.444377612859841,-10.6101865058298,2.27710851690352
"AKR7A2",0.714045110036498,-10.0051484177522,2.40556944560576
"PQLC2",0.22712266150858,-12.104790066756,2.17568849682712
"CAPZB",1.5980120265211,-8.89452707828783,2.63008472484643
"MINOS1",1.09826455423253,-9.48931751925384,2.49284028290331
"NBL1",0.174120422480146,-12.6247712823772,2.05817582041029
"TMCO4",0.23386501965221,-11.7696233733186,2.16814921311575
"OTUD3",0.217168357845664,-12.5125542968357,2.11121018860736
"UBXN10-AS1",0.090721269291354,-12.7921404110945,1.91917469956789
"CAMK2N1",0.16759266301054,-12.6777798123276,2.06112349582788
"MUL1",0.419800833583891,-11.0916363501629,2.20775783788905
"CDA",0.864267687504792,-9.83388019580206,2.45072146360359
"PINK1",0.409247564379716,-11.1316388278151,2.20197253201869
"PINK1-AS",0.23078253123122,-12.1364778837008,2.17188129372768
"DDOST",0.91260287844428,-9.81169395387383,2.46786015049529
"HP1BP3",0.661955580889626,-10.0059633987547,2.37109501244683
"EIF4G3",0.223483964358326,-11.9978879830348,2.17485616472569
"ECE1",0.468508213192356,-10.9544997360567,2.27219527162539
"NBPF3",0.158147028664132,-12.743367074885,2.06256469798137
"USP48",0.441153676576072,-10.5489949103303,2.28390391332591
"LINC00339",0.28226465445891,-11.5946080769549,2.19434563052973
"CDC42",1.23009207444723,-9.3672030303808,2.57976787450554
"ZBTB40",0.29792123746974,-11.5462653186893,2.19888074652411
"C1QA",0.384979914842639,-11.2460763635708,2.20425993057304
"C1QC",0.157774651310339,-12.7455419546227,2.06250154062551
"C1QB",0.247588502088632,-11.6949632162839,2.1754149104045
"EPHB2",0.124744812975913,-12.9345239920951,2.0430897230423
"KDM1A",0.387415497071228,-11.2345599720108,2.20365151181136
"LUZP1",0.423548881942278,-11.0811483215147,2.21170221133003
"HNRNPR",0.955560988241561,-9.76007994566306,2.47888048588265
"ZNF436",0.164512937804273,-12.7012184827497,2.0621617116166
"TCEA3",0.468147242418652,-10.8180195964788,2.27194522636461
"E2F2",0.223506913503804,-11.9791550530398,2.17392053640435
"ID3",0.496003767297942,-10.4532977682372,2.33889431160468
"MDS2",0.376204747880711,-11.2861261532952,2.20642123524537
"RPL11",6.03520498910091,-4.05228449408417,2.06684449716757
