"","theta","batchA","batchB","log_umi:batchA","log_umi:batchB"
"ATAD3A",0.35206787689079,-11.5094909796825,-11.322201785177,2.20308843468351,2.19516498882358
"SSU72",1.17005110264218,-9.36538656601816,-9.59292115227192,2.53794299105678,2.59223113393613
"AL645728.1",0.23401792377617,-11.5585501876496,-11.8696704099259,2.09784164060755,2.13698823514882
"RP11-345P4.9",0.275123687981729,-11.5393955319725,-11.664747685725,2.19823779166605,2.13258966318418
"MIB2",0.495147809908064,-10.3943306413217,-10.4252957285657,2.26045421028747,2.34376809577011
"MMP23B",0.210630821538473,-11.8610243825902,-12.1068247246849,2.0853567895114,2.12504097367742
"CDK11B",0.412157024410494,-11.4893634867845,-11.1387901390154,2.20483894477891,2.25627461817252
"SLC35E2B",0.321603918180279,-11.298495777024,-11.5882929144866,2.20210679650895,2.13583876778806
"CDK11A",0.472414013409318,-10.447572982338,-10.5221666968988,2.24839874922503,2.33863148228697
"SLC35E2",0.190579693516022,-12.0306360069239,-12.4241370356452,2.10758923884792,2.07119716703591
"NADK",0.466087020198441,-10.506694001989,-10.8796938392789,2.23729178565773,2.31512039100362
"GNB1",0.674483034666581,-9.95333461852345,-10.0693912438079,2.31837369941085,2.4074803156855
"PRKCZ",0.258829670578705,-12.0306360069239,-11.3550656447549,2.10758923884792,2.17397758907307
"RP5-892K4.1",0.160024964708372,-12.7229509827603,-13.0792703402643,2.20280914120116,2.05908771487333
"C1orf86",0.908154240653897,-9.6190942970393,-9.94056863809482,2.39919831456984,2.49458279673152
"SKI",0.401600507928954,-10.9943958932166,-11.3609169698116,2.18631931761659,2.17055324958054
"RER1",1.02631902566058,-9.53830520801302,-9.67429723685617,2.41971720301592,2.50511894912713
"PEX10",0.258829670578705,-11.5604266920596,-11.4768111230672,2.0868295070752,2.14355999326807
"PANK4",0.388147303171196,-11.4741571233433,-11.2287391073738,2.20566590775078,2.22856829303011
"RP3-395M20.12",0.477746844547377,-10.3597138677786,-10.5670412518972,2.26636353604158,2.33072324494486
"TNFRSF14",1.00259010917428,-9.51303163072775,-9.8106868649316,2.42618412485816,2.50363594021302
"RP3-395M20.9",0.182645041051933,-12.2272241961111,-12.8356493069929,2.13379043070395,2.07186889921468
"FAM213B",0.280949852644176,-11.5620577283092,-11.5605863373055,2.1905334203729,2.13748686135213
"MMEL1",0.182645041051933,-12.9807844892051,-12.2134499787719,2.23242604348101,2.05080575518804
"MEGF6",0.160024964708372,-12.9807844892051,-12.8356493069929,2.23242604348101,2.07186889921468
"TPRG1L",0.361163916710801,-11.5807819102115,-11.1590222823096,2.07219043993715,2.24842747328496
"WRAP73",0.47044025371041,-10.7853868167451,-11.0450675441401,2.21984228662439,2.30189356709574
"TP73-AS1",0.242590445367145,-11.5807819102115,-11.5882929144866,2.07219043993715,2.13583876778806
"SMIM1",0.185955406245284,-12.7229509827603,-12.2134499787719,2.20280914120116,2.05080575518804
"LRRC47",0.468586310116168,-10.5889789219461,-10.8468605387962,2.23015987036252,2.31458112333691
"CEP104",0.41026329298,-10.9441599710064,-11.3550656447549,2.18761360768581,2.17397758907307
"DFFB",0.225478490438372,-11.5585501876496,-12.1068247246849,2.09784164060755,2.12504097367742
"C1orf174",0.461354471341466,-10.5551445801549,-10.6249157630943,2.2322000190241,2.31949392017859
"NPHP4",0.169885626665915,-13.0412186394904,-12.4241370356452,2.19756516700304,2.07119716703591
"KCNAB2",0.616145316090604,-9.96226953909363,-10.1879387503719,2.30531433085799,2.33652326678889
"RPL22",2.0328073077148,-7.5995650095022,-7.25984563741047,2.5077342826373,2.39942804559934
"RNF207",0.174595702666877,-12.8376914911247,-12.7048021381125,2.21804407568297,2.10185332445685
"ICMT",0.425443847957533,-11.0579812816991,-11.2094695355865,2.18789440611439,2.2335444712315
"ACOT7",0.236495703644553,-11.5753986069226,-11.6909504718042,2.07418389673403,2.1321416995741
