"","theta","batchA","batchB","log_umi:batchA","log_umi:batchB"
"AL645728.1",0.238179451387535,-1.03660414633375,-17.2470973784406,-1.02414738891014,3.70600592119528
"RP11-345P4.9",0.340520223529959,-12.9678267869636,-12.7989470514376,2.61985106904482,2.47613505230665
"MIB2",0.584300557679386,-6.71894345357481,-4.31173856938807,1.17136177300239,0.54519339945674
"MMP23B",0.379865432616499,-10.2830299971347,-3.56690050468946,1.62774245919408,-0.402507798105473
"CDK11B",0.568485238417204,-9.93920121326572,-7.61724996088971,1.75642725744914,1.22157425438727
"SLC35E2B",0.24722468543176,-2.95334930412917,-6.52849848163606,-0.266315524751275,0.644011996716988
"CDK11A",1.58022274567531,-13.9303017524261,-7.54467820934264,3.26144178814456,1.46208718081098
"SLC35E2",0.265855009900939,-13.1435931780366,-14.33773641343,2.44061042463826,2.63897515592685
"NADK",0.804108228591973,-14.742832699273,-15.8266663895891,3.47327532086966,3.75593491164191
"GNB1",2.90201356651307,-11.2876511729526,-12.3321652266467,2.7068236071603,3.05912298429729
"PRKCZ",0.328523909517403,-12.3249445056667,-9.96334088924291,2.20062565425874,1.77547623474009
"RP5-892K4.1",0.16603022437408,-0.818516070377622,-13.9464176321173,-1.34121701539136,2.32220201335387
"C1orf86",0.895007225984325,-8.59679319001488,-9.25029983953738,2.12266149341267,2.29165619065797
"SKI",0.519718836280911,-11.4778461641886,-10.0742312730408,2.32787327631128,1.80811302321617
"RER1",0.742210403549938,-8.0107568401313,-9.86063833684346,1.99401738699425,2.58253287505036
"PEX10",0.268628511324613,-16.9316325987154,-14.9792619160392,3.66094093790765,3.17542297010085
"PANK4",0.997974937107222,-12.1766069781882,-13.8894991688869,2.41381018175593,3.00458161960105
"RP3-395M20.12",0.689496182275965,-12.4947543055033,-13.2778933773471,2.89297128678664,3.12460826481873
"TNFRSF14",3.13530158414055,-8.98600557258212,-9.88852194638789,2.27400721421872,2.52046639682071
"RP3-395M20.9",0.0185569240342363,-9.84579958822095,-14.4305730439884,1.47046855367343,2.54777164622822
"FAM213B",0.354213548209919,-7.6238076669297,-12.7925200488416,1.03212761649755,2.50865804421262
"MMEL1",0.236267739616754,-13.0793705120976,-11.3228778432386,2.27209506359301,1.80095651022908
"MEGF6",0.193860672194073,-23.195315442862,-1.37091234647354,5.19332120279784,-1.34583769261107
"TPRG1L",0.123440691424931,-12.3027310981125,-12.0588293850934,2.29281612595151,2.53479190866547
"WRAP73",0.611550039245885,-10.6545798284687,-11.9532894575997,2.18855544417675,2.57335597581187
"TP73-AS1",0.577137468990311,-3.6006333171342,-12.5968543547159,-0.290651240718203,2.43480036057838
"SMIM1",0.271495119035889,-4.49541317277614,-16.9736964656617,-0.230049596185457,3.44868491873505
"LRRC47",0.215592499668306,-16.7093899176391,-10.3968543650682,4.07245486010802,2.18345711334642
"CEP104",0.762745770883976,-3.43651268036419,-9.64417598343649,-0.0401056718099067,1.68147689221121
"DFFB",0.173914224194032,-13.9845823524729,-12.7681468386833,2.82374930886584,2.32972255562862
"C1orf174",1.4450460480578,-8.22358340471311,-9.92806558928593,1.54871650906172,2.11053475247365
"NPHP4",0.19425392758942,-13.2261446197128,-15.0935976748442,2.26166895884706,2.85909286314559
"KCNAB2",1.94272412882385,-10.6025052487464,-9.80702234742513,2.49143061658464,2.22041389042923
"RPL22",6.7991605714273,-6.2415525919653,-5.80118143182841,2.08211696275802,1.94285376109339
"RNF207",0.0272640788445675,-15.189371255975,-2.65505868094899,2.93398059912821,-0.887659025927728
"ICMT",0.851577037884704,-9.50905320785584,-15.1986277402823,1.73230219604476,3.40083648269094
"ACOT7",0.249097257856101,-16.9794412966326,-27.0328424784459,3.67476401598883,6.52183445477923
"TNFRSF25",0.128740213806784,-13.3146642203183,-7.40227033866925,3.27225406659463,1.40757175904389
"PLEKHG5",0.0134588708283352,-18.7955075412089,-12.0392045242261,3.81756259687164,2.05072063570325
"NOL9",0.114089707759483,-11.4126316814627,-5.63144339438583,2.24534316215774,0.376338667073185
"ZBTB48",0.229165969081702,-8.72129406818574,-12.0595693589185,1.46281556477945,2.52040751252447
"KLHL21",0.35434806747779,-8.9505235314873,-8.24302223042802,1.45203447253804,1.13550642029895
"PHF13",0.35846465731226,-8.87606764033872,-12.5853118088875,1.23749250057636,2.2762104616377
"THAP3",0.727429628173184,-11.1563401435892,-8.93933077267565,2.29903651917169,1.60478532328787
"DNAJC11",0.277158458901273,-18.6736088064559,-10.9734650992693,4.1632334761486,2.1258283793379
"CAMTA1",0.609960473072823,-8.84183296649275,-8.62356131545748,1.94190837684274,1.8817777585217
"VAMP3",1.47935448910246,-14.1072744610434,-14.4604286231479,3.4278718371799,3.49083649117818
"PER3",0.22738249351178,-17.3457086939019,-5.05055273610982,3.73926119032828,0.144441020421487
"UTS2",0.212749808727789,-13.5215631995203,-6.54326966984812,2.40170229437546,0.337594458177214
"TNFRSF9",0.00437773153263471,-2.34230676450942,-19.5833867002897,-0.803146065776777,4.35270767213584
"PARK7",5.31019095728755,-9.7897360361978,-10.5591472704473,2.79382071489156,3.0438816506204
"RERE",1.29703224601313,-13.4306000685519,-7.75325200260995,3.05226162046871,1.43152509544435
"ENO1",2.07153156614176,-10.6978350516034,-12.2299951403568,3.18707380532533,3.63709775062353
"ENO1-AS1",0.237665557517886,0.521848443101365,-11.6472952173496,-1.74964697007982,1.85105018946465
"H6PD",0.384270051667158,-11.9729051794576,-3.4294581857409,2.43840347787944,-0.220483459060863
"SPSB1",0.187313458588395,-22.3845925926941,-23.4521268110136,4.84735974931218,5.36675979780556
"SLC25A33",0.671013332016818,-9.65640694679022,-10.6757118164181,1.8773067180711,2.21621690593357
"PIK3CD",2.81694529492093,-8.15496737898948,-10.8657813800842,1.68190186787065,2.52783854400288
"CLSTN1",0.86257215872241,-11.4544915882367,-11.4918403636412,2.57598947839279,2.51264131336519
"CTNNBIP1",0.269169194122239,-13.8402863388148,-2.43124365432825,3.30911737291691,-0.051459836597975
